target_city,anchor_id,heating_score,cooling_score,combined_score
Ardahan,base_0948,3.9142837075996932,1.294437324658586,1.2949529753869728
Ardahan,base_0945,4.4403325396229985,1.5398683223401142,1.506984136438652
Ardahan,base_0724,4.632529869479362,1.5049580341383721,1.5182126519543502
Ardahan,base_0881,6.7662258523187955,1.5629601124013148,1.8797704956375914
Ardahan,base_0054,9.316892236486057,1.4074810565334084,2.1924507829422266
Ardahan,base_0260,7.770638858540805,2.514541251676287,2.5414043692764534
Ardahan,base_0268,4.921361758616819,3.561492251208401,2.656432209497866
Ardahan,base_0162,10.263871473695357,2.198587122568389,2.759858573039671
Ardahan,base_0024,6.137176014329125,3.8090188689447833,2.9764897854535564
Ardahan,base_0944,15.340963710732748,4.217627645852584,4.620313107031032
Bartin,base_0948,3.3063493882546,1.2336653510391409,1.4005666904981642
Bartin,base_0945,3.441545954172996,1.3743523988463313,1.5111342936254857
Bartin,base_0724,3.980024164114783,1.3367745546512686,1.5983748383695895
Bartin,base_0881,5.228331338976359,1.4202128117742472,1.901347180372392
Bartin,base_0054,7.098383714427001,1.3280745601566177,2.2269784501121346
Bartin,base_0260,5.647577063778174,2.290099144256954,2.5003170030116246
Bartin,base_0268,3.945246002914967,3.102109411760343,2.6339379163384162
Bartin,base_0162,7.912077842623743,1.9660951455190028,2.769168639896084
Bartin,base_0024,4.612770579887431,3.639834614997592,3.0871863438003153
Bartin,base_0944,12.207919387397569,4.425349443304875,5.094678772005057
Bingol,base_0948,3.8670181082425,1.3075585420125955,1.3874626992067571
Bingol,base_0945,4.395920252614342,1.4844101813757553,1.5761037350295461
Bingol,base_0724,4.532520511669609,1.4845562082001564,1.5990209058256208
Bingol,base_0881,6.355247969580598,1.487525654343134,1.905395096059918
Bingol,base_0054,9.114370241099467,1.4135948203712347,2.3247168753688685
Bingol,base_0260,7.199695606664098,2.3636406677990736,2.543082559960138
Bingol,base_0268,4.721530170055928,3.4106085890826043,2.7221832544472933
Bingol,base_0162,9.70428612653584,2.041441916254888,2.779153367843021
Bingol,base_0024,5.60917309567984,3.7515750294997954,3.063802313116107
Bingol,base_0944,14.871626263194315,3.905149950626283,4.699171919843051
Canakkale,base_0948,3.1552597939346114,1.2514541277562867,1.4877887479133678
Canakkale,base_0945,3.2704595551857265,1.3575602083219966,1.5792961957906928
Canakkale,base_0724,3.678835568885116,1.32498861762279,1.6521074234057331
Canakkale,base_0881,4.686277753173994,1.3909781995294788,1.9218078840240107
Canakkale,base_0054,6.711228426941973,1.3455876976992753,2.3543200872226118
Canakkale,base_0260,4.9272476758689585,2.209477640632715,2.4804189502281995
Canakkale,base_0268,3.6111881707533993,2.9255005024089975,2.6219002773505564
Canakkale,base_0162,7.051748089234089,1.8582144066704236,2.7472915347014757
Canakkale,base_0024,4.109217656294923,3.516017713400118,3.0986322730577083
Canakkale,base_0944,11.065545363905118,4.175310898866072,5.086245240360265
Hatay,base_0948,3.222748224186316,1.2428706924229294,1.5454031858337387
Hatay,base_0945,3.4358092727169813,1.3359655002664432,1.6545873497753676
Hatay,base_0724,3.7024999907272003,1.3318509889089978,1.7137999484798723
Hatay,base_0881,4.639706437529021,1.3424448939727687,1.9379698340159242
Hatay,base_0054,6.796525315610315,1.3284569642595345,2.4292252506442855
Hatay,base_0260,4.925007291879625,2.133090122052275,2.5117478308856995
Hatay,base_0268,3.590586449606422,2.885308333013124,2.685189304083822
Hatay,base_0162,7.02027984429938,1.772738370795986,2.7663572750374446
Hatay,base_0024,3.9835006018811625,3.3019838958158596,3.043831488760116
Hatay,base_0944,10.6877930642116,3.8206869780942165,4.931789365775451
Kars,base_0948,3.740096188665664,1.2945286606068664,1.3534559220582825
Kars,base_0945,4.189521414936159,1.494947214635092,1.5410287921735906
Kars,base_0724,4.378313562956829,1.4686031652898341,1.558384733150071
Kars,base_0881,6.208565725666071,1.5143570754950324,1.8940294751111257
Kars,base_0054,8.76619962068693,1.4038805724779055,2.2661219791563876
Kars,base_0260,7.016476563209501,2.4106427539307678,2.5291473294915554
Kars,base_0268,4.587508105398282,3.379582633892738,2.65602313681929
Kars,base_0162,9.424010179451258,2.083859097749452,2.755568804913522
Kars,base_0024,5.591393553422765,3.728532717710334,3.0201310648754935
Kars,base_0944,14.332046159092803,4.088363229078309,4.701607664241367
Konya,base_0948,3.58407346607486,1.2871798146542606,1.4519195642157925
Konya,base_0945,3.9522657543165067,1.4158188228390167,1.598919068738268
Konya,base_0724,4.172407595324911,1.4195784455254512,1.6429078979111198
Konya,base_0881,5.597643365849784,1.4277504402108616,1.9179958095496912
Konya,base_0054,8.223998749213038,1.3890535353340272,2.392653665133274
Konya,base_0260,6.204583400458698,2.2259830880193445,2.5121020615614515
Konya,base_0268,4.259420421240042,3.156761740162275,2.7019487627965035
Konya,base_0162,8.599602957630799,1.9048290803002887,2.7733927190782364
Konya,base_0024,4.952484326578446,3.6459548808337385,3.1269159711398786
Konya,base_0944,13.564181593692268,3.8553508510195886,4.88511145739617
Sanliurfa,base_0948,3.418340142134338,1.2698223697608062,1.5243461711602493
Sanliurfa,base_0945,3.747921169617592,1.3716649202828624,1.6584602514196782
Sanliurfa,base_0724,3.940697550811906,1.3750626668249943,1.7018282454817024
Sanliurfa,base_0881,5.067508530895272,1.3657834031929892,1.9371248399674181
Sanliurfa,base_0054,7.410458944471273,1.3571549837776833,2.4330316661489864
Sanliurfa,base_0260,5.454292171401044,2.1928020718829297,2.536326401812688
Sanliurfa,base_0268,3.872522696571673,3.03030386390824,2.7208849560126773
Sanliurfa,base_0162,7.644632701448891,1.827669181128476,2.776955753145405
Sanliurfa,base_0024,4.280083077471908,3.404576249522474,3.0418068216162384
Sanliurfa,base_0944,11.569965043685142,3.7811182357907747,4.8366796256352975
