method_a,method_b,comparison_budget,metric,mean_a,mean_b,absolute_improvement_b_minus_a,relative_improvement_pct,ci_low_improvement,ci_high_improvement,exact_signflip_p_two_sided,a_better_climates,b_better_climates,ties,n_climates
AARS_v4_3_shot,zero_shot_absolute_aligned_3shot,3,total_mae,2.9556676398346924,23.90104774298676,20.94538010315207,87.63373191159802,8.252842214977267,34.833615637885586,0.0078125,8,0,0,8
AARS_v4_3_shot,3_shot_global_bias,3,total_mae,2.9556676398346924,5.767654694224771,2.811987054390079,48.75442798622738,0.9482060998490802,5.232146911287097,0.0078125,8,0,0,8
AARS_v4_3_shot,3_shot_raw_relative,3,total_mae,2.9556676398346924,4.823735098623278,1.868067458788585,38.726576410088164,1.202696842916805,2.4917887350806334,0.0078125,8,0,0,8
AARS_v4_1_shot,zero_shot_absolute_aligned_1shot,1,total_mae,3.330520266685885,23.899402719993333,20.56888245330745,86.0644204974223,8.230257209237989,34.044641119928485,0.0078125,8,0,0,8
AARS_v4_1_shot,1_shot_global_bias,1,total_mae,3.330520266685885,5.822441794444294,2.4919215277584086,42.798564858753444,0.9264320084698178,4.534706521716796,0.0078125,8,0,0,8
AARS_v4_1_shot,1_shot_raw_relative,1,total_mae,3.330520266685885,4.020385849269833,0.689865582583948,17.15918840748181,0.2399662594107736,1.1103159634338344,0.0390625,7,1,0,8
AARS_v4_3_shot_common997,AARS_v4_1_shot_common997,3,total_mae,2.955667639834693,3.3307891194556625,0.3751214796209694,11.262240453165472,-0.0028726321875301164,0.8159929165652334,0.1171875,6,2,0,8
