protocol,target,metric,mean,ci_low,ci_high,n_climates,bootstrap_resamples,seed
AARS_v4_1_shot,heating,mae,3.2371545654500298,2.4433886352364613,4.193772809234083,8,20000,20260820
AARS_v4_1_shot,heating,rmse,4.05700414223491,3.1509315406235663,5.110598897546496,8,20000,20260820
AARS_v4_1_shot,heating,r2,0.9739877840246012,0.9567912628120824,0.9889920993091249,8,20000,20260820
AARS_v4_1_shot,heating,spearman,0.9951265157943513,0.9911913722339571,0.998156726365644,8,20000,20260820
AARS_v4_1_shot,heating,kendall,0.9539990892696305,0.9345517862551933,0.9686033729119903,8,20000,20260820
AARS_v4_1_shot,heating,design_regret_kwh_m2,1.181628000000001,0.06116837500000005,3.2844817500000025,8,20000,20260820
AARS_v4_1_shot,heating,top_recovery,0.9475,0.9125,0.975,8,20000,20260820
AARS_v4_1_shot,cooling,mae,1.7910264474402724,0.918935804961194,2.958703152002913,8,20000,20260820
AARS_v4_1_shot,cooling,rmse,2.385628114187172,1.278695562271204,3.8899025596251637,8,20000,20260820
AARS_v4_1_shot,cooling,r2,0.9363414162951716,0.8910601102512375,0.974583633383367,8,20000,20260820
AARS_v4_1_shot,cooling,spearman,0.988946293106022,0.977261429083683,0.9965226356993265,8,20000,20260820
AARS_v4_1_shot,cooling,kendall,0.9255125491015886,0.8861293407222494,0.9541871530849488,8,20000,20260820
AARS_v4_1_shot,cooling,design_regret_kwh_m2,0.5197070000000011,0.11381624999999994,1.140935250000003,8,20000,20260820
AARS_v4_1_shot,cooling,top_recovery,0.87,0.77,0.9349999999999999,8,20000,20260820
AARS_v4_1_shot,total,mae,3.330520266685885,2.639495737860561,4.188920518830188,8,20000,20260820
AARS_v4_1_shot,total,rmse,4.258326269662781,3.456278381618161,5.274557015796018,8,20000,20260820
AARS_v4_1_shot,total,r2,0.9709483192000788,0.9513875938196074,0.9875904235645192,8,20000,20260820
AARS_v4_1_shot,total,spearman,0.9904103687856189,0.982893109567483,0.996438454988054,8,20000,20260820
AARS_v4_1_shot,total,kendall,0.9314073592630709,0.9025047091179358,0.9559479318998358,8,20000,20260820
AARS_v4_1_shot,total,design_regret_kwh_m2,1.615962624999998,0.6030709781249934,2.8109291781250008,8,20000,20260820
AARS_v4_1_shot,total,top_recovery,0.8899999999999999,0.8225,0.9475,8,20000,20260820
AARS_v4_3_shot,heating,mae,2.6343247050858194,2.1345807029234307,3.1703997682537643,8,20000,20260820
AARS_v4_3_shot,heating,rmse,3.3318928792106024,2.73889110336417,3.95424500798149,8,20000,20260820
AARS_v4_3_shot,heating,r2,0.9851161896300046,0.9774321503618819,0.9922481761987044,8,20000,20260820
AARS_v4_3_shot,heating,spearman,0.9964383047614487,0.9937995340825456,0.9985201123779628,8,20000,20260820
AARS_v4_3_shot,heating,kendall,0.9591283891836153,0.9447287771950391,0.9710532702525247,8,20000,20260820
AARS_v4_3_shot,heating,design_regret_kwh_m2,1.807169500000002,0.33867937500000056,3.8488548750000033,8,20000,20260820
AARS_v4_3_shot,heating,top_recovery,0.9724999999999999,0.945,0.99,8,20000,20260820
AARS_v4_3_shot,cooling,mae,1.3411613449656214,0.8064393148220046,2.0567391986180183,8,20000,20260820
AARS_v4_3_shot,cooling,rmse,1.8446690518589741,1.118048469079119,2.7851350161843724,8,20000,20260820
AARS_v4_3_shot,cooling,r2,0.9600524230009315,0.9346378196413205,0.9818372879481209,8,20000,20260820
AARS_v4_3_shot,cooling,spearman,0.9904814814551504,0.9818218920545391,0.9967113893289111,8,20000,20260820
AARS_v4_3_shot,cooling,kendall,0.9304594129999648,0.8964062552868827,0.9580448585277651,8,20000,20260820
AARS_v4_3_shot,cooling,design_regret_kwh_m2,0.36111937500000124,0.019263000000000027,0.9976528750000034,8,20000,20260820
AARS_v4_3_shot,cooling,top_recovery,0.885,0.78,0.95,8,20000,20260820
AARS_v4_3_shot,total,mae,2.9556676398346924,2.3930403199566115,3.5379792584382708,8,20000,20260820
AARS_v4_3_shot,total,rmse,3.7335577586359716,3.1040267961401793,4.369755060559777,8,20000,20260820
AARS_v4_3_shot,total,r2,0.9793927740393691,0.9677703812941469,0.9897247196103239,8,20000,20260820
AARS_v4_3_shot,total,spearman,0.9920851403596309,0.9867395248906171,0.9962319019980967,8,20000,20260820
AARS_v4_3_shot,total,kendall,0.9355964479784737,0.912854527437735,0.9549109174914303,8,20000,20260820
AARS_v4_3_shot,total,design_regret_kwh_m2,1.2920940000000023,0.5381936468749996,2.3360710687499986,8,20000,20260820
AARS_v4_3_shot,total,top_recovery,0.9075,0.8375,0.96,8,20000,20260820
