anchor_budget,target,mae,rmse,r2,spearman,kendall,design_regret_kwh_m2,top_recovery
1,cooling,1.7910264474402724,2.3856281141871714,0.9363414162951718,0.988946293106022,0.9255125491015886,0.5197070000000011,0.87
1,heating,3.2371545654500298,4.05700414223491,0.9739877840246012,0.9951265157943513,0.9539990892696305,1.181628000000001,0.9475
1,total,3.3305202666858853,4.258326269662781,0.9709483192000788,0.990410368785619,0.9314073592630708,1.615962624999998,0.89
3,cooling,1.3411613449656217,1.8446690518589741,0.9600524230009315,0.9904814814551504,0.9304594129999648,0.36111937500000124,0.885
3,heating,2.6343247050858194,3.331892879210602,0.9851161896300046,0.9964383047614487,0.9591283891836153,1.807169500000002,0.9725
3,total,2.9556676398346924,3.733557758635972,0.979392774039369,0.9920851403596309,0.9355964479784737,1.2920940000000023,0.9075
