target_simulations,protocol,evaluation_n_per_climate,mae,rmse,r2,spearman,kendall,design_regret_kwh_m2,top_recovery
0,zero_shot_absolute,1000,23.89821382590766,25.179373263997952,-0.886754315654193,0.9587479067479068,0.8596211211211211,1.6681341249999981,0.865
1,AARS_v4_1_shot_strict,999,3.3305202666858853,4.258326269662781,0.9709483192000788,0.990410368785619,0.9314073592630708,1.615962624999998,0.89
3,AARS_v4_3_shot_strict,997,2.9556676398346924,3.733557758635972,0.979392774039369,0.9920851403596309,0.9355964479784737,1.2920940000000023,0.9075
