anchor_budget,target,worst_r2_city,worst_r2,mae_at_worst_r2,highest_mae_city,highest_mae,r2_at_highest_mae
1,heating,Hatay,0.9319332280627808,2.902319655543057,Bingol,5.878507012013976,0.9696094354225238
1,cooling,Sanliurfa,0.8096309159236845,5.389670110671592,Sanliurfa,5.389670110671592,0.8096309159236845
1,total,Sanliurfa,0.9172610494049198,5.900101136089776,Sanliurfa,5.900101136089776,0.9172610494049198
3,heating,Hatay,0.9655833348808992,2.1028936259756152,Bingol,4.015701586425391,0.9846423655042712
3,cooling,Ardahan,0.8969203578556999,1.0085147984615437,Sanliurfa,3.490733234710006,0.9155257652742907
3,total,Hatay,0.95010819277812,3.1436375900519447,Sanliurfa,4.24320589206374,0.9580669303263316
