energy_design_id,base_design_id,source_design_id,design_schema_version,city,orientation,room_width_m,room_depth_m,room_height_m,floor_area_m2,volume_m3,requested_wwr,actual_wwr,window_area_m2,glazing_type,wall_u_category,wall_u_value_w_m2k,roof_u_value_w_m2k,floor_u_value_w_m2k,glazing_u_value,shgc,vlt,shading_depth_m,ground_temperature_source_x,design_day_names,actual_wall_u_no_film_w_m2k,actual_roof_u_no_film_w_m2k,actual_floor_u_no_film_w_m2k,actual_glazing_u_w_m2k,actual_glazing_shgc,total_site_energy_gj,total_site_energy_kwh_m2,heating_gj,heating_kwh_m2,cooling_gj,cooling_kwh_m2,lighting_gj,lighting_kwh_m2,equipment_gj,equipment_kwh_m2,status,warning_count,severe_count,error_message,climate_latitude,climate_longitude,climate_elevation_m,climate_annual_mean_temp_c,climate_annual_min_temp_c,climate_annual_max_temp_c,climate_temp_p01_c,climate_temp_p05_c,climate_temp_p95_c,climate_temp_p99_c,climate_hours_below_0c,climate_hours_above_30c,climate_heating_degree_days_18c,climate_cooling_degree_days_22c,climate_cooling_degree_days_24c,climate_annual_ghi_kwh_m2,climate_annual_dni_kwh_m2,climate_annual_dhi_kwh_m2,climate_mean_relative_humidity_pct,climate_mean_wind_speed_m_s,ground_temperature_source_y,ground_temperature_month_01_c,ground_temperature_month_02_c,ground_temperature_month_03_c,ground_temperature_month_04_c,ground_temperature_month_05_c,ground_temperature_month_06_c,ground_temperature_month_07_c,ground_temperature_month_08_c,ground_temperature_month_09_c,ground_temperature_month_10_c,ground_temperature_month_11_c,ground_temperature_month_12_c,climate_vertical_n_kwh_m2,climate_vertical_e_kwh_m2,climate_vertical_s_kwh_m2,climate_vertical_w_kwh_m2,climate_orientation_vertical_solar_kwh_m2,envelope_area_to_volume_ratio,ua_envelope_w_k,ua_intensity_w_m2k,solar_aperture_ratio,heating_transmission_proxy_kwh_m2,cooling_transmission_proxy_kwh_m2,orientation_solar_gain_proxy_kwh_m2
ext_bingol_0508,base_0508,Bingol_base_0508,classguard_v2_external_frozen_1,Bingol,N,7.3729,9.7804,3.215,72.109911,231.833364,0.29437,0.29437,6.977709,low_e_double,low_insulation,0.8,0.6,0.7,1.6,0.55,0.7,0.0,epw_ground_temperature_depth_0.5m,Bingol Ann Htg 99.6% Condns DB | Bingol Ann Clg 1% Condns WB=>MDB,0.8,0.6,0.7,1.6,0.551,83.17,320.382835,64.97,250.27381,9.24,35.593813,5.49,21.148272,3.47,13.36694,ok,1,0,,38.885,40.501,1177.0,11.963664383561643,-10.0,38.0,-7.4,-3.6,32.0,35.7,974,662,3092.5125000000003,502.87083333333334,359.92499999999995,1851.61,2201.457,509.116,54.03664383561644,1.0328538812785388,epw_ground_temperature_depth_0.5m,0.73,-0.37,1.58,4.63,12.61,18.76,22.92,24.18,22.03,17.25,10.86,4.93,382.53471095542324,938.6014982718854,1337.8680720324523,1095.5373689757682,382.53471095542324,1.0978382774965902,187.5616267,2.601051978832702,0.05322070013371672,193.0508581845568,31.391836227334,20.35876514249658
ext_bingol_0509,base_0509,Bingol_base_0509,classguard_v2_external_frozen_1,Bingol,E,8.2462,10.3071,3.0747,84.994408,261.332306,0.28798,0.28798,9.126443,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Bingol Ann Htg 99.6% Condns DB | Bingol Ann Clg 1% Condns WB=>MDB,0.5,0.35,0.45,1.199,0.401,82.34,269.102671,58.6,191.515867,13.19,43.107411,6.47,21.145182,4.08,13.334211,ok,1,0,,38.885,40.501,1177.0,11.963664383561643,-10.0,38.0,-7.4,-3.6,32.0,35.7,974,662,3092.5125000000003,502.87083333333334,359.92499999999995,1851.61,2201.457,509.116,54.03664383561644,1.0328538812785388,epw_ground_temperature_depth_0.5m,0.73,-0.37,1.58,4.63,12.61,18.76,22.92,24.18,22.03,17.25,10.86,4.93,382.53471095542324,938.6014982718854,1337.8680720324523,1095.5373689757682,938.6014982718854,1.087046922625785,131.42986801,1.5463354719759916,0.04295079271568078,114.7694826306997,18.662568177731046,40.31367839490316
ext_bingol_0510,base_0510,Bingol_base_0510,classguard_v2_external_frozen_1,Bingol,W,6.6992,7.0223,3.7054,47.043792,174.316067,0.2202,0.2202,5.729699,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,0.0,epw_ground_temperature_depth_0.5m,Bingol Ann Htg 99.6% Condns DB | Bingol Ann Clg 1% Condns WB=>MDB,0.5,0.35,0.45,1.6,0.551,50.04,295.469378,35.78,211.268872,8.42,49.717269,3.58,21.138696,2.26,13.34454,ok,1,0,,38.885,40.501,1177.0,11.963664383561643,-10.0,38.0,-7.4,-3.6,32.0,35.7,974,662,3092.5125000000003,502.87083333333334,359.92499999999995,1851.61,2201.457,509.116,54.03664383561644,1.0328538812785388,epw_ground_temperature_depth_0.5m,0.73,-0.37,1.58,4.63,12.61,18.76,22.92,24.18,22.03,17.25,10.86,4.93,382.53471095542324,938.6014982718854,1337.8680720324523,1095.5373689757682,1095.5373689757682,1.1231028761106685,94.7813486,2.0147472083032762,0.06698725413121459,149.53514222443167,24.315782582291412,73.387040145822
ext_bingol_0511,base_0511,Bingol_base_0511,classguard_v2_external_frozen_1,Bingol,E,7.2757,7.8683,3.1035,57.24739,177.667276,0.26723,0.26723,6.525561,low_e_double,low_insulation,0.8,0.6,0.7,1.6,0.55,0.7,0.0,epw_ground_temperature_depth_0.5m,Bingol Ann Htg 99.6% Condns DB | Bingol Ann Clg 1% Condns WB=>MDB,0.8,0.6,0.7,1.6,0.551,65.56,318.112512,49.63,240.816412,8.82,42.796711,4.36,21.155744,2.75,13.343646,ok,1,0,,38.885,40.501,1177.0,11.963664383561643,-10.0,38.0,-7.4,-3.6,32.0,35.7,974,662,3092.5125000000003,502.87083333333334,359.92499999999995,1851.61,2201.457,509.116,54.03664383561644,1.0328538812785388,epw_ground_temperature_depth_0.5m,0.73,-0.37,1.58,4.63,12.61,18.76,22.92,24.18,22.03,17.25,10.86,4.93,382.53471095542324,938.6014982718854,1337.8680720324523,1095.5373689757682,938.6014982718854,1.1735058514658603,154.8411022,2.7047713825905424,0.06269383722122529,200.74894344728483,32.643615339347,58.84452954825575
ext_bingol_0512,base_0512,Bingol_base_0512,classguard_v2_external_frozen_1,Bingol,N,6.9248,8.513,3.4877,58.950822,205.602783,0.34628,0.34628,8.363225,low_e_double,low_insulation,0.8,0.6,0.7,1.6,0.55,0.7,0.0,epw_ground_temperature_depth_0.5m,Bingol Ann Htg 99.6% Condns DB | Bingol Ann Clg 1% Condns WB=>MDB,0.8,0.6,0.7,1.6,0.551,70.67,332.998841,55.52,261.611655,7.82,36.848039,4.49,21.156994,2.83,13.335032,ok,1,0,,38.885,40.501,1177.0,11.963664383561643,-10.0,38.0,-7.4,-3.6,32.0,35.7,974,662,3092.5125000000003,502.87083333333334,359.92499999999995,1851.61,2201.457,509.116,54.03664383561644,1.0328538812785388,epw_ground_temperature_depth_0.5m,0.73,-0.37,1.58,4.63,12.61,18.76,22.92,24.18,22.03,17.25,10.86,4.93,382.53471095542324,938.6014982718854,1337.8680720324523,1095.5373689757682,382.53471095542324,1.0971956256059043,169.47451269599998,2.8748456246462513,0.07802730469135784,213.3719047149322,34.69622435929314,29.84815244673931
ext_bingol_0513,base_0513,Bingol_base_0513,classguard_v2_external_frozen_1,Bingol,N,7.9808,8.9211,3.3447,71.197515,238.134328,0.43646,0.43646,11.650593,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,0.0,epw_ground_temperature_depth_0.5m,Bingol Ann Htg 99.6% Condns DB | Bingol Ann Clg 1% Condns WB=>MDB,0.8,0.6,0.7,2.803,0.702,84.18,328.429066,65.67,256.212126,9.67,37.727596,5.42,21.146181,3.42,13.343162,ok,1,0,,38.885,40.501,1177.0,11.963664383561643,-10.0,38.0,-7.4,-3.6,32.0,35.7,974,662,3092.5125000000003,502.87083333333334,359.92499999999995,1851.61,2201.457,509.116,54.03664383561644,1.0328538812785388,epw_ground_temperature_depth_0.5m,0.73,-0.37,1.58,4.63,12.61,18.76,22.92,24.18,22.03,17.25,10.86,4.93,382.53471095542324,938.6014982718854,1337.8680720324523,1095.5373689757682,382.53471095542324,1.072749997891946,206.30881138799998,2.8976968000638785,0.11454634477060051,215.06792580978106,34.97201291029094,43.817952887821924
ext_bingol_0514,base_0514,Bingol_base_0514,classguard_v2_external_frozen_1,Bingol,N,7.7991,7.4831,3.2127,58.361445,187.497815,0.43608,0.43608,10.926494,low_e_double,high_insulation,0.3,0.2,0.3,1.6,0.55,0.7,0.0,epw_ground_temperature_depth_0.5m,Bingol Ann Htg 99.6% Condns DB | Bingol Ann Clg 1% Condns WB=>MDB,0.3,0.2,0.3,1.6,0.551,52.95,252.021404,36.6,174.201763,9.11,43.360056,4.44,21.132673,2.8,13.326911,ok,1,0,,38.885,40.501,1177.0,11.963664383561643,-10.0,38.0,-7.4,-3.6,32.0,35.7,974,662,3092.5125000000003,502.87083333333334,359.92499999999995,1851.61,2201.457,509.116,54.03664383561644,1.0328538812785388,epw_ground_temperature_depth_0.5m,0.73,-0.37,1.58,4.63,12.61,18.76,22.92,24.18,22.03,17.25,10.86,4.93,382.53471095542324,938.6014982718854,1337.8680720324523,1095.5373689757682,382.53471095542324,1.1462380928545752,72.843439064,1.2481431716435396,0.10297160565506903,92.63756064233502,15.063715124248715,39.39021340587766
ext_bingol_0515,base_0515,Bingol_base_0515,classguard_v2_external_frozen_1,Bingol,W,7.824,9.4496,3.4788,73.93367,257.200453,0.34251,0.34251,11.259423,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Bingol Ann Htg 99.6% Condns DB | Bingol Ann Clg 1% Condns WB=>MDB,0.5,0.35,0.45,1.199,0.401,74.2,278.77841,52.01,195.407886,13.01,48.88015,5.63,21.152594,3.55,13.337781,ok,1,0,,38.885,40.501,1177.0,11.963664383561643,-10.0,38.0,-7.4,-3.6,32.0,35.7,974,662,3092.5125000000003,502.87083333333334,359.92499999999995,1851.61,2201.457,509.116,54.03664383561644,1.0328538812785388,epw_ground_temperature_depth_0.5m,0.73,-0.37,1.58,4.63,12.61,18.76,22.92,24.18,22.03,17.25,10.86,4.93,382.53471095542324,938.6014982718854,1337.8680720324523,1095.5373689757682,1095.5373689757682,1.0421837762470816,127.11993178000002,1.7193780828139602,0.06091634839715111,127.61275711987697,20.751002143673404,66.73613605062619
ext_bingol_0516,base_0516,Bingol_base_0516,classguard_v2_external_frozen_1,Bingol,S,8.2104,8.6876,3.1275,71.328671,223.080419,0.2278,0.2278,5.849454,high_performance_double,high_insulation,0.3,0.2,0.3,1.2,0.4,0.62,0.0,epw_ground_temperature_depth_0.5m,Bingol Ann Htg 99.6% Condns DB | Bingol Ann Clg 1% Condns WB=>MDB,0.3,0.2,0.3,1.199,0.401,55.94,217.849129,36.22,141.052833,10.86,42.292484,5.43,21.146242,3.43,13.357571,ok,1,0,,38.885,40.501,1177.0,11.963664383561643,-10.0,38.0,-7.4,-3.6,32.0,35.7,974,662,3092.5125000000003,502.87083333333334,359.92499999999995,1851.61,2201.457,509.116,54.03664383561644,1.0328538812785388,epw_ground_temperature_depth_0.5m,0.73,-0.37,1.58,4.63,12.61,18.76,22.92,24.18,22.03,17.25,10.86,4.93,382.53471095542324,938.6014982718854,1337.8680720324523,1095.5373689757682,1337.8680720324523,1.113295075889202,72.63794109999999,1.018355453447324,0.032802820621738484,75.58264726149643,12.29043013211041,43.88584638243164
ext_bingol_0517,base_0517,Bingol_base_0517,classguard_v2_external_frozen_1,Bingol,E,8.3694,9.2174,3.3021,77.144108,254.737558,0.203,0.203,6.178666,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,0.0,epw_ground_temperature_depth_0.5m,Bingol Ann Htg 99.6% Condns DB | Bingol Ann Clg 1% Condns WB=>MDB,0.5,0.35,0.45,2.803,0.702,77.53,279.167286,55.37,199.37434,12.58,45.29762,5.87,21.136489,3.71,13.358837,ok,1,0,,38.885,40.501,1177.0,11.963664383561643,-10.0,38.0,-7.4,-3.6,32.0,35.7,974,662,3092.5125000000003,502.87083333333334,359.92499999999995,1851.61,2201.457,509.116,54.03664383561644,1.0328538812785388,epw_ground_temperature_depth_0.5m,0.73,-0.37,1.58,4.63,12.61,18.76,22.92,24.18,22.03,17.25,10.86,4.93,382.53471095542324,938.6014982718854,1337.8680720324523,1095.5373689757682,938.6014982718854,1.0616218616651731,133.99959048000002,1.7370035632533338,0.05606476388319895,128.9209255657314,20.96372230454816,52.62247138103002
ext_bingol_0518,base_0518,Bingol_base_0518,classguard_v2_external_frozen_1,Bingol,S,7.7016,8.2541,3.3158,63.569777,210.784665,0.31575,0.31575,8.063297,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,0.0,epw_ground_temperature_depth_0.5m,Bingol Ann Htg 99.6% Condns DB | Bingol Ann Clg 1% Condns WB=>MDB,0.5,0.35,0.45,2.803,0.702,55.54,242.690452,36.68,160.278822,10.96,47.891382,4.84,21.149114,3.05,13.327437,ok,1,0,,38.885,40.501,1177.0,11.963664383561643,-10.0,38.0,-7.4,-3.6,32.0,35.7,974,662,3092.5125000000003,502.87083333333334,359.92499999999995,1851.61,2201.457,509.116,54.03664383561644,1.0328538812785388,epw_ground_temperature_depth_0.5m,0.73,-0.37,1.58,4.63,12.61,18.76,22.92,24.18,22.03,17.25,10.86,4.93,382.53471095542324,938.6014982718854,1337.8680720324523,1095.5373689757682,1337.8680720324523,1.105162816849129,122.30731476,1.9239852730645883,0.08878917256544726,142.7987641624357,23.22038586208921,118.78819911749163
